Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,Heating,MaintenanceFee,Price,Room,Town,Typeofit
7,250,Uygun değil,İkinci El,3,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,50,560000,6,Keçiören,Daire
8,140,Uygun,İkinci El,3,2,Güney,Doğalgaz,Eşyalı Değil,Kombi,25,175000,4,Altındağ,Daire
0,180,Uygun,Sıfır,11,8,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,350,575000,5,Çankaya,Daire
20,120,Uygun,İkinci El,3,Yüksek Giriş,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,20,123000,4,Sincan,Daire
15,140,Uygun,İkinci El,3,1,Güney,Doğalgaz,Eşyalı Değil,Kombi,50,550000,5,Çankaya,Daire
6,133,Uygun değil,İkinci El,3,2,Güney,Doğalgaz,Eşyalı Değil,Kombi,30,230000,4,Keçiören,Daire
0,65,Uygun,Sıfır,7,5,Güney,Doğalgaz,Eşyalı Değil,Kombi,50,285000,2,Çankaya,Daire
5,125,Uygun,İkinci El,3,Yüksek Giriş,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,40,300000,4,Mamak,Daire
20,105,Uygun,,3,Giriş Katı,,,Eşyalı Değil,Kombi,,175000,4,Çankaya,Daire
45,120,Bilinmiyor,İkinci El,5,2,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi,500,435000,4,Çankaya,Daire
9,100,Uygun,İkinci El,,3,Güney,Doğalgaz,Eşyalı Değil,Kombi,25,178000,4,Mamak,Daire
27,95,Uygun,İkinci El,2,2,Batı,Doğalgaz,Eşyalı Değil,Kombi,30,295000,3,Çankaya,Daire
1,130,Uygun,Sıfır,4,3,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,150,295000,4,Mamak,Daire
25,130,Uygun,İkinci El,2,2,Güney,Doğalgaz,Eşyalı Değil,Kombi,20,295000,4,Yenimahalle,Daire
9,100,Uygun,İkinci El,3,2,Batı,Doğalgaz,Eşyalı Değil,Kombi,,134000,3,Mamak,Daire
30,115,Uygun,İkinci El,5,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,275000,4,Çankaya,Daire
45,120,Uygun,İkinci El,4,1,Güney,Doğalgaz,Eşyalı Değil,Merkezi,250,265000,3,Çankaya,Daire
13,310,Uygun,İkinci El,3,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,100,490000,8,Çankaya,Daire
12,130,Uygun,İkinci El,3,1,Doğu,Doğalgaz,Eşyalı Değil,Kombi,25,170000,4,Keçiören,Daire
0,165,Uygun,Sıfır,4,4,"Kuzey,Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,420000,5,Sincan,Daire
28,100,Uygun,İkinci El,3,2,Güney,Doğalgaz,Eşyalı Değil,Kombi,50,210000,4,Çankaya,Daire
0,140,Uygun,,,,,,Eşyalı Değil,Kombi,,290000,4,Polatlı,Daire
0,190,Uygun,Sıfır,12,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,779000,5,Etimesgut,Daire
3,125,Uygun,İkinci El,26,6,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,156,510000,3,Çankaya,Daire
0,155,Uygun,Sıfır,4,2,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,,245000,4,Çubuk,Daire
5,145,Uygun,İkinci El,3,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,50,415000,4,Çankaya,Daire
15,200,Uygun,,,,,,Eşyalı Değil,Kombi,,250000,5,Polatlı,Daire
8,125,Uygun,İkinci El,3,1,Doğu,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,158000,4,Keçiören,Daire
0,55,Uygun,Sıfır,14,1,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,330000,2,Çankaya,Daire
35,117,Uygun,İkinci El,5,2,Güney,Doğalgaz,Eşyalı Değil,Merkezi,170,495000,4,Çankaya,Daire
16,115,Uygun,,3,Yüksek Giriş,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,,290000,4,Etimesgut,Daire
20,110,Uygun,İkinci El,,,Doğu,Doğalgaz,Eşyalı Değil,Kombi,30,285000,4,Çankaya,Daire
13,220,Uygun,İkinci El,4,3,Güney,Doğalgaz,Eşyalı Değil,Kombi,30,420000,6,Yenimahalle,Daire
18,240,Uygun,İkinci El,,,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,250,1150000,5,Çankaya,Daire
10,120,Uygun,İkinci El,3,2,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,255000,4,Keçiören,Daire
1,134,Uygun,İkinci El,29,6,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),425,560000,2,Çankaya,Daire
1,221,Uygun,Sıfır,21,6,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,1400000,5,Çankaya,Daire
30,145,Uygun,,4,1,,,Eşyalı Değil,Kombi,,370000,4,Çankaya,Daire
1,150,Uygun,Sıfır,14,13,Güney,Doğalgaz,Eşyalı Değil,Merkezi,,625000,4,Altındağ,Daire
14,115,Uygun,İkinci El,3,1,Batı,Doğalgaz,Eşyalı Değil,Kombi,30,230000,4,Etimesgut,Daire
35,180,Uygun,İkinci El,14,10,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,700,920000,5,Çankaya,Daire
0,350,Uygun,Sıfır,4,En Üst Kat,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,797000,8,Çankaya,Daire
17,160,Uygun,İkinci El,2,2,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,430000,4,Çankaya,Daire
0,145,Uygun,Sıfır,7,6,Güney,Doğalgaz,Eşyalı Değil,Kombi,,350000,4,Mamak,Daire
0,200,Uygun,Sıfır,3,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,100,1250000,5,Çankaya,Daire
1,235,Uygun,Sıfır,27,21,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),780,1400000,4,Gölbaşı,Daire
10,375,Uygun,İkinci El,9,9,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,200,1750000,6,Çankaya,Daire
20,140,Uygun,İkinci El,6,6,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,120,434000,4,Yenimahalle,Daire
3,320,Uygun,İkinci El,7,7,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),200,948000,7,Etimesgut,Daire
8,110,Uygun,,,Yüksek Giriş,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,50,267000,3,Çankaya,Daire
6,115,Uygun,İkinci El,,2,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,220000,4,Mamak,Daire
40,75,Uygun,İkinci El,5,2,"Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,25,140000,3,Altındağ,Daire
1,195,Uygun,Sıfır,33,11,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),500,1550000,5,Çankaya,Daire
12,125,Uygun,İkinci El,3,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,40,360000,4,Gölbaşı,Daire
1,140,Uygun,Sıfır,9,4,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,270000,4,Altındağ,Daire
3,150,Uygun,,3,Giriş Katı,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,215000,5,Altındağ,Daire
40,165,Uygun,,4,4,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,500000,4,Çankaya,Daire
0,200,Uygun,Sıfır,4,4,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,50,370000,5,Mamak,Daire
12,130,Uygun,İkinci El,3,En Üst Kat,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,550000,4,Altındağ,Daire
15,110,Uygun,,,,,,Eşyalı Değil,Kombi,,125000,4,Polatlı,Daire
0,135,Uygun,Sıfır,3,3,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,40,390000,3,Yenimahalle,Daire
0,140,Uygun,Sıfır,5,4,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,245000,4,Polatlı,Daire
1,205,Uygun,Sıfır,26,7,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),350,865000,5,Gölbaşı,Daire
18,125,Uygun,İkinci El,6,6,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,200000,4,Yenimahalle,Daire
1,180,Uygun,Sıfır,12,3,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),200,640000,5,Yenimahalle,Daire
25,120,Uygun,Sıfır,2,1,,Doğalgaz,Eşyalı Değil,Kombi,30,240000,4,Çankaya,Daire
20,170,Uygun,İkinci El,5,1,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,150,625000,4,Çankaya,Daire
0,190,Uygun,,14,7,,,Eşyalı Değil,Merkezi,,445000,5,Pursaklar,Daire
25,90,Uygun,İkinci El,5,2,Doğu,Doğalgaz,Eşyalı Değil,Kombi,25,107000,3,Yenimahalle,Daire
0,150,Uygun,Sıfır,4,4,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,255000,4,Çubuk,Daire
0,98,Uygun,Sıfır,10,6,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),75,275000,3,Altındağ,Daire
30,115,Uygun,İkinci El,4,2,"Kuzey,Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi,300,560000,4,Çankaya,Daire
15,250,Uygun,İkinci El,3,En Üst Kat,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,450000,5,Çankaya,Daire
10,100,Uygun,İkinci El,5,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,193000,4,Mamak,Daire
35,75,Bilinmiyor,İkinci El,3,1,,Doğalgaz,Eşyalı Değil,Kombi,,75000,2,Mamak,Daire
1,140,Uygun,Sıfır,15,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,220000,4,Altındağ,Daire
25,125,Uygun,İkinci El,3,2,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,300000,4,Keçiören,Daire
1,130,Uygun,,3,1,,Doğalgaz,Eşyalı Değil,Kombi,,455000,4,Çankaya,Daire
35,75,Uygun,İkinci El,5,3,"Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,25,112000,3,Sincan,Daire
3,90,Uygun,İkinci El,3,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,30,240000,3,Altındağ,Daire
35,170,Uygun,İkinci El,4,3,"Kuzey,Doğu",,Eşyalı Değil,Merkezi,,850000,4,Çankaya,Daire
4,195,Uygun,İkinci El,14,14,"Kuzey,Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),300,1035000,5,Çankaya,Daire
0,121,Uygun,Sıfır,6,Ara Kat,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,900000,3,Çankaya,Daire
3,130,Uygun,İkinci El,28,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),156,550000,4,Çankaya,Daire
27,115,Uygun,İkinci El,6,1,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,165000,4,Yenimahalle,Daire
0,220,Uygun,Sıfır,12,10,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,1800000,5,Çankaya,Daire
4,175,Uygun,İkinci El,3,2,"Kuzey,Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,30,340000,5,Keçiören,Daire
5,190,Uygun,İkinci El,12,1,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),300,750000,5,Çankaya,Daire
9,176,Uygun,İkinci El,3,3,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,20,399000,5,Gölbaşı,Daire
8,110,Uygun,İkinci El,3,1,"Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,70,510000,4,Çankaya,Daire
1,225,Uygun,Sıfır,5,4,Doğu,,Eşyalı Değil,Kombi,75,875000,5,Çankaya,Daire
35,90,Uygun,İkinci El,4,Giriş Katı,,Doğalgaz,Eşyalı Değil,Merkezi,,190000,3,Çankaya,Daire
3,220,Uygun,İkinci El,5,1,"Güney,Doğu,Batı",Doğalgaz,Eşyalı,Kombi,50,315000,6,Mamak,Daire
0,190,Uygun,Sıfır,14,12,"Güney,Batı",,Eşyalı Değil,Merkezi (Pay Ölçer),,495000,5,Sincan,Daire
10,160,Uygun,İkinci El,3,1,,Doğalgaz,Eşyalı Değil,Kombi,,179000,5,Pursaklar,Daire
12,160,Uygun,İkinci El,10,4,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,120,495000,4,Yenimahalle,Daire
0,185,Uygun,Sıfır,14,12,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),50,490000,5,Keçiören,Daire
15,155,Uygun,,3,2,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,310000,4,Çankaya,Daire
10,270,Uygun,İkinci El,10,10,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,225,750000,6,Yenimahalle,Daire
9,135,Uygun,İkinci El,3,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,285000,4,Mamak,Daire
0,200,Uygun,,,,"Kuzey,Güney,Doğu",,Eşyalı Değil,Merkezi (Pay Ölçer),,730000,5,Etimesgut,Daire
25,145,Uygun,,3,Yüksek Giriş,"Güney,Doğu,Batı",,Eşyalı Değil,Kombi,100,485000,4,Çankaya,Daire
5,147,Uygun,İkinci El,13,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),100,339000,4,Etimesgut,Daire
0,210,Uygun,,,Yüksek Giriş,"Kuzey,Güney,Batı",,Eşyalı Değil,Kombi,,375000,5,Polatlı,Daire
3,165,Uygun,İkinci El,15,6,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),310,990000,4,Yenimahalle,Daire
0,95,Uygun,Sıfır,5,4,Doğu,Doğalgaz,Eşyalı Değil,Kombi,,585000,3,Çankaya,Daire
0,85,Uygun,Sıfır,10,Zemin,Batı,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,95000,3,Altındağ,Daire
2,170,Uygun,İkinci El,2,1,"Kuzey,Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,365000,5,Mamak,Daire
9,125,Uygun,İkinci El,4,1,Batı,Doğalgaz,Eşyalı Değil,Kombi,50,290000,4,Çankaya,Daire
0,220,Uygun,Sıfır,24,7,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),400,1050000,5,Çankaya,Daire
30,115,Uygun,,6,1,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,230000,4,Yenimahalle,Daire
15,125,Uygun,İkinci El,18,18,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),450,453000,4,Yenimahalle,Daire
20,190,Uygun,İkinci El,3,3,Doğu,Doğalgaz,Eşyalı Değil,Kombi,50,369000,6,Çankaya,Daire
7,120,Uygun,İkinci El,3,2,Batı,Doğalgaz,Eşyalı Değil,Kombi,,245000,4,Keçiören,Daire
0,195,Uygun,Sıfır,15,14,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),250,890000,5,Etimesgut,Daire
30,120,Uygun,İkinci El,3,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,219000,4,Keçiören,Daire
0,80,Uygun,,25,9,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,320000,3,Yenimahalle,Daire
7,150,Uygun,İkinci El,3,Yüksek Giriş,Doğu,Doğalgaz,Eşyalı Değil,Kombi,20,159000,4,Pursaklar,Daire
0,280,Uygun,Sıfır,4,4,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,419000,8,Mamak,Daire
0,95,Uygun,Sıfır,3,Giriş Katı,Doğu,Doğalgaz,Eşyalı Değil,Kombi,30,142000,3,Mamak,Daire
0,200,Uygun,Sıfır,5,Yüksek Giriş,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,460000,5,Etimesgut,Daire
10,140,Uygun,İkinci El,3,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,20,365000,4,Keçiören,Daire
30,140,Uygun,İkinci El,3,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,40,193000,4,Keçiören,Daire
10,110,Uygun,,12,9,,,Eşyalı Değil,Kombi,,465000,4,Çankaya,Daire
23,150,Uygun,İkinci El,11,5,Batı,Doğalgaz,Eşyalı Değil,Merkezi,350,470000,4,Keçiören,Daire
35,100,Uygun,İkinci El,3,2,Doğu,Doğalgaz,Eşyalı Değil,Kombi,20,136000,4,Altındağ,Daire
1,120,Uygun,Sıfır,11,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi,,228000,4,Altındağ,Daire
9,135,Uygun,İkinci El,3,Yüksek Giriş,Doğu,Doğalgaz,Eşyalı Değil,Kombi,20,155000,4,Pursaklar,Daire
4,145,Uygun,,,,,,Eşyalı Değil,Kombi,,310000,4,Keçiören,Daire
20,85,Uygun,İkinci El,3,Giriş Katı,Batı,Doğalgaz,Eşyalı Değil,Kombi,,125000,4,Mamak,Daire
43,145,Uygun,İkinci El,4,Yüksek Giriş,"Kuzey,Batı",,Eşyalı Değil,Merkezi,560,475000,4,Çankaya,Daire
8,155,Uygun,İkinci El,12,6,"Kuzey,Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi,200,407900,34,Mamak,Daire
2,110,Uygun,İkinci El,4,Çatı Katı,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),180,650000,3,Çankaya,Daire
26,130,Uygun,İkinci El,5,Yüksek Giriş,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi,230,245000,4,Etimesgut,Daire
10,180,Uygun,İkinci El,3,3,Güney,Doğalgaz,Eşyalı Değil,Kombi,30,359000,5,Keçiören,Daire
12,135,Uygun,İkinci El,5,3,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,160000,4,Sincan,Daire
9,150,Uygun,,,,,,Eşyalı Değil,Kombi,,359000,4,Etimesgut,Daire
0,150,Uygun,Sıfır,10,5,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,385000,4,Yenimahalle,Daire
30,200,Uygun,İkinci El,4,4,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,100,450000,5,Çankaya,Daire
15,145,Uygun,İkinci El,9,9,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,100,342000,4,Etimesgut,Daire
8,130,Uygun,İkinci El,4,3,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,295000,4,Altındağ,Daire
0,200,Uygun,Sıfır,15,4,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,,660000,5,Keçiören,Daire
7,250,Uygun,İkinci El,3,En Üst Kat,"Güney,Doğu",,Eşyalı Değil,Kombi,30,380000,6,Etimesgut,Daire
15,120,Uygun,İkinci El,2,Giriş Katı,"Kuzey,Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,123000,4,Polatlı,Daire
2,220,Uygun,İkinci El,16,8,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),500,995000,5,Çankaya,Daire
5,145,Uygun,İkinci El,5,Yüksek Giriş,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,220000,4,Polatlı,Daire
30,110,Uygun,İkinci El,4,Giriş Katı,"Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,140000,4,Mamak,Daire
0,240,Uygun,Sıfır,2,2,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,20,390000,5,Mamak,Daire
15,120,Uygun,İkinci El,3,Giriş Katı,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,320000,4,Çankaya,Daire
30,135,Uygun,İkinci El,3,En Üst Kat,Doğu,Doğalgaz,Eşyalı Değil,Merkezi,300,335000,4,Keçiören,Daire
8,117,Uygun,İkinci El,11,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),130,175000,4,Etimesgut,Daire
20,70,Uygun,İkinci El,6,Yüksek Giriş,Güney,Doğalgaz,Eşyalı Değil,Kombi,30,110000,2,Keçiören,Daire
0,115,Uygun,Sıfır,3,Yüksek Giriş,"Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,175000,4,Keçiören,Daire
25,120,Uygun,İkinci El,3,3,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,40,295000,4,Çankaya,Daire
8,126,Uygun,İkinci El,9,Yüksek Giriş,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),120,230000,4,Yenimahalle,Daire
0,190,Uygun,Sıfır,12,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,,775000,5,Etimesgut,Daire
7,137,Uygun,İkinci El,6,Giriş Katı,"Kuzey,Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),119,153000,4,Etimesgut,Daire
0,165,Uygun,Sıfır,10,8,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi,75,385000,4,Sincan,Daire
22,120,Uygun,İkinci El,4,4,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,186000,4,Sincan,Daire
20,130,Uygun,,3,3,,,Eşyalı Değil,Kombi,,310000,4,Çankaya,Daire
18,110,Uygun,,3,Bahçe Katı,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,20,159000,4,Keçiören,Daire
20,100,Uygun,İkinci El,3,1,Doğu,Doğalgaz,Eşyalı Değil,Kombi,,107500,3,Mamak,Daire
25,120,Uygun,İkinci El,3,3,Batı,Doğalgaz,Eşyalı Değil,Kombi,25,270000,4,Keçiören,Daire
20,125,Uygun,İkinci El,4,En Üst Kat,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,25,155000,4,Sincan,Daire
45,110,Uygun,İkinci El,4,2,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,225,279000,3,Altındağ,Daire
30,80,Uygun,,,,,,Eşyalı Değil,Kombi,,250000,2,Çankaya,Daire
19,125,Uygun,İkinci El,3,3,Güney,Doğalgaz,Eşyalı Değil,Kombi,30,385000,4,Çankaya,Daire
16,180,Uygun,İkinci El,3,Asma Kat,"Kuzey,Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,85,475000,5,Çankaya,Daire
9,350,Uygun,İkinci El,4,4,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,100,750000,8,Çankaya,Daire
13,98,Uygun,İkinci El,13,9,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi,30,445000,3,Çankaya,Daire
3,125,Uygun,İkinci El,3,Yüksek Giriş,Güney,Doğalgaz,Eşyalı Değil,Kombi,,165000,4,Mamak,Daire
14,115,Uygun,İkinci El,3,2,,Doğalgaz,Eşyalı Değil,Kombi,,245000,4,Etimesgut,Daire
0,130,Uygun,İkinci El,15,2,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,330000,4,Mamak,Daire
40,150,Uygun,İkinci El,4,4,,Doğalgaz,Eşyalı Değil,Kombi,,950000,5,Çankaya,Daire
13,250,Uygun,İkinci El,3,3,Doğu,Doğalgaz,Eşyalı Değil,Kombi,20,257000,6,Pursaklar,Daire
0,220,Uygun değil,Sıfır,10,2,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,265000,3,Polatlı,Daire
0,110,Uygun,Sıfır,15,5,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Merkezi,,625000,3,Çankaya,Daire
30,125,Uygun,İkinci El,12,9,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi,350,675000,4,Çankaya,Daire
39,120,Uygun,,5,5,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,198000,4,Yenimahalle,Daire
9,180,Uygun,,3,3,,Doğalgaz,Eşyalı Değil,Kombi,,295000,5,Pursaklar,Daire
16,130,Uygun,İkinci El,3,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,280000,4,Keçiören,Daire
18,90,Uygun,İkinci El,7,1,"Güney,Doğu,Batı",Doğalgaz,Eşyalı,Kombi,30,244000,3,Çankaya,Daire
4,208,Uygun,İkinci El,6,5,"Kuzey,Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi,800,1480000,5,Çankaya,Daire
20,135,Uygun,İkinci El,9,Yüksek Giriş,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi,300,240000,4,Çankaya,Daire
4,200,Uygun,İkinci El,16,10,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),200,575000,5,Keçiören,Daire
16,125,Uygun,İkinci El,3,1,"Güney,Doğu",Doğalgaz,Eşyalı,Kombi,,205000,4,Mamak,Daire
12,115,Uygun,İkinci El,4,1,Güney,Doğalgaz,Eşyalı Değil,Kombi,20,220000,3,Mamak,Daire
0,70,Uygun,Sıfır,25,15,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,250000,2,Yenimahalle,Daire
12,350,Uygun,İkinci El,3,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,570000,7,Keçiören,Daire
0,425,Uygun,Sıfır,3,3,"Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,890000,6,Çankaya,Daire
0,115,Uygun,Sıfır,12,Yüksek Giriş,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),75,205000,4,Sincan,Daire
30,100,Uygun,İkinci El,3,3,Güney,Doğalgaz,Eşyalı Değil,Kombi,30,290000,4,Mamak,Daire
10,220,Uygun,,,,,,Eşyalı Değil,Kombi,,450000,6,Çankaya,Daire
0,90,Uygun,Sıfır,9,8,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,350,695000,2,Çankaya,Daire
20,120,Uygun,İkinci El,5,3,Batı,Doğalgaz,Eşyalı Değil,Merkezi,330,325000,4,Çankaya,Daire
0,105,Uygun,Sıfır,5,1,Güney,,Eşyalı Değil,Kombi,,400000,4,Çankaya,Daire
26,115,Uygun,İkinci El,2,1,Doğu,Doğalgaz,Eşyalı Değil,Kombi,25,237500,4,Çankaya,Daire
19,120,Uygun,,,,,,Eşyalı Değil,Kombi,,152500,4,Sincan,Daire
0,245,Uygun,Sıfır,15,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,150,550000,6,Keçiören,Daire
6,235,Uygun,İkinci El,3,3,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,885000,6,Altındağ,Daire
