Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,Heating,MaintenanceFee,Price,Room,Town,Typeofit
12,140,Uygun,İkinci El,4,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,295000,4,Mamak,Daire
1,190,Uygun,Sıfır,13,8,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),120,530000,5,Pursaklar,Daire
7,165,Uygun,İkinci El,5,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,435000,5,Çankaya,Daire
10,155,Uygun,İkinci El,4,1,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,250,650000,4,Çankaya,Daire
18,170,Uygun,İkinci El,4,2,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,100,620000,5,Çankaya,Daire
8,185,Uygun,İkinci El,15,9,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),500,820000,5,Çankaya,Daire
0,195,Uygun,Sıfır,7,2,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,100,490000,5,Keçiören,Daire
34,170,Uygun,İkinci El,2,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,100,368000,5,Çankaya,Daire
17,145,Uygun,İkinci El,5,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,155000,4,Polatlı,Daire
0,175,Uygun,Sıfır,6,5,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,385000,5,Polatlı,Daire
10,110,Uygun,,3,Yüksek Giriş,"Güney,Batı",,Eşyalı Değil,Kombi,,275000,3,Çankaya,Daire
22,130,Uygun,Sıfır,2,2,"Kuzey,Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,40,389000,4,Çankaya,Daire
14,300,Uygun,İkinci El,3,3,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,695000,7,Keçiören,Daire
4,135,Uygun,İkinci El,3,1,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,345000,4,Keçiören,Daire
1,200,Uygun,Sıfır,16,7,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),150,1200000,5,Keçiören,Daire
23,120,Uygun,İkinci El,4,3,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,100,610000,4,Çankaya,Daire
2,180,Uygun,Sıfır,8,8,"Kuzey,Güney,Doğu",Doğalgaz,Eşyalı Değil,Isıtma Yok,,829000,5,Etimesgut,Daire
20,195,Uygun,İkinci El,3,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,340000,4,Keçiören,Daire
4,120,Uygun,İkinci El,3,3,Kuzey,Doğalgaz,Eşyalı Değil,Kombi,,349000,4,Pursaklar,Daire
3,160,Uygun,İkinci El,4,Giriş Katı,,Doğalgaz,Eşyalı Değil,Kombi,,180000,5,Mamak,Daire
0,200,Uygun,,7,7,,,Eşyalı Değil,Kombi,,375000,5,Mamak,Daire
12,150,Uygun,İkinci El,4,2,,Doğalgaz,Eşyalı Değil,Kombi,,250000,4,Mamak,Daire
3,175,Uygun,Sıfır,8,8,"Kuzey,Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),200,728000,5,Etimesgut,Daire
11,115,Uygun,İkinci El,4,Yüksek Giriş,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,129000,3,Sincan,Daire
0,175,Uygun,Sıfır,8,2,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,725000,4,Etimesgut,Daire
4,200,Uygun,İkinci El,9,7,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,779000,5,Etimesgut,Daire
0,180,Uygun,Sıfır,10,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,749000,5,Etimesgut,Daire
0,235,Uygun,Sıfır,13,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,500000,5,Keçiören,Daire
10,220,Uygun,İkinci El,11,9,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,300,795000,5,Çankaya,Daire
9,180,Uygun,İkinci El,4,4,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,125,540000,5,Çankaya,Daire
0,180,Uygun,Sıfır,10,2,Güney,Doğalgaz,Eşyalı Değil,Kombi,,729000,5,Etimesgut,Daire
1,75,Uygun,İkinci El,22,Ara Kat,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),315,645000,2,Çankaya,Daire
5,121,Uygun,,15,1,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,125,249000,4,Etimesgut,Daire
8,180,Uygun,İkinci El,10,4,Güney,Doğalgaz,Eşyalı Değil,Kombi,,660000,5,Etimesgut,Daire
3,195,Uygun,İkinci El,10,1,Doğu,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,735000,5,Etimesgut,Daire
0,190,Uygun,Sıfır,12,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,765000,5,Etimesgut,Daire
0,200,Uygun,Sıfır,17,2,Güney,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,425000,5,Pursaklar,Daire
0,190,Uygun,Sıfır,10,9,Doğu,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,680000,5,Altındağ,Daire
21,140,Uygun,İkinci El,14,1,Güney,Doğalgaz,Eşyalı Değil,Kombi,50,237000,4,Keçiören,Daire
1,180,Uygun,Sıfır,9,9,"Kuzey,Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,739000,5,Etimesgut,Daire
0,200,Uygun,Sıfır,17,6,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),150,785000,5,Keçiören,Daire
11,270,Uygun,İkinci El,3,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,425000,6,Çankaya,Daire
0,225,Uygun,Sıfır,16,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,775000,5,Keçiören,Daire
13,250,Uygun,İkinci El,3,3,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,,319000,6,Pursaklar,Daire
0,210,Uygun,Sıfır,25,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),250,775000,5,Keçiören,Daire
25,105,Uygun,İkinci El,8,Yüksek Giriş,"Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,160,280000,3,Çankaya,Daire
23,170,Uygun,İkinci El,2,2,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,40,380000,5,Çankaya,Daire
40,90,Uygun,İkinci El,4,2,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi,300,320000,3,Çankaya,Daire
20,260,Uygun,İkinci El,2,2,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,370,500000,5,Çankaya,Daire
13,180,Uygun,İkinci El,18,1,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,300,529000,5,Etimesgut,Daire
30,85,Uygun,İkinci El,4,Bahçe Katı,Batı,Doğalgaz,Eşyalı Değil,Kombi,50,145000,3,Çankaya,Daire
25,135,Uygun,İkinci El,3,1,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,20,350000,5,Çankaya,Daire
4,210,Uygun,İkinci El,11,10,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),550,1425000,5,Çankaya,Daire
2,100,Uygun,İkinci El,12,2,Güney,Doğalgaz,Eşyalı,Merkezi,350,525000,2,Çankaya,Daire
3,120,Uygun,Sıfır,3,2,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,150000,4,Mamak,Daire
14,110,Uygun,İkinci El,3,Yüksek Giriş,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,30,154000,3,Mamak,Daire
10,150,Uygun,İkinci El,6,2,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,224000,4,Keçiören,Daire
4,110,Uygun,İkinci El,3,2,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,155000,3,Keçiören,Daire
8,130,Uygun,İkinci El,3,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,265000,4,Keçiören,Daire
11,125,Uygun,İkinci El,3,1,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,270000,4,Keçiören,Daire
0,305,Uygun,Sıfır,4,2,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),"1,000",1950000,5,Çankaya,Daire
0,210,Uygun,Sıfır,3,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,515000,5,Çankaya,Daire
0,205,Uygun,Sıfır,,,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),150,500000,5,Keçiören,Daire
0,240,Uygun,Sıfır,,,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),150,650000,5,Keçiören,Daire
0,230,Uygun,Sıfır,27,15,Güney,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),150,720000,5,Keçiören,Daire
0,245,Uygun,Sıfır,31,6,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),300,745000,5,Keçiören,Daire
5,185,Uygun,İkinci El,12,11,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,839000,5,Etimesgut,Daire
2,135,Uygun,Sıfır,9,9,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,75,430000,4,Mamak,Daire
0,190,Uygun,,10,7,"Kuzey,Doğu",,Eşyalı Değil,Kombi,,439000,5,Pursaklar,Daire
4,90,Uygun,İkinci El,14,14,"Kuzey,Batı",Doğalgaz,Eşyalı,Merkezi (Pay Ölçer),185,334000,3,Etimesgut,Daire
2,180,Uygun,İkinci El,33,2,"Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),375,665000,5,Yenimahalle,Daire
0,145,Uygun,Sıfır,12,1,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,100,245000,4,Mamak,Daire
0,200,Uygun,Sıfır,28,5,"Kuzey,Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,815000,5,Gölbaşı,Daire
1,190,Uygun,Sıfır,12,3,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),250,799000,5,Etimesgut,Daire
8,400,Uygun,İkinci El,22,21,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Merkezi,350,1750000,6,Çankaya,Daire
15,200,Uygun,İkinci El,23,5,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,725000,5,Etimesgut,Daire
1,225,Uygun,Sıfır,34,21,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),600,1675000,5,Çankaya,Daire
9,300,Uygun,İkinci El,4,4,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,549000,5,Çankaya,Daire
5,90,Uygun,İkinci El,14,Yüksek Giriş,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),230,305000,3,Etimesgut,Daire
